phase,bench,cl,ch,al,am,ah,wi,wp,wf,wg,area,delay,acc,rej,nodes
P2,div,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,42825.5,66218.18,48,103,50478
P2,div,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,42825.5,66218.18,48,101,50478
P2,div,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,42825.5,66218.18,48,100,50478
P2,div,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,42825.5,66218.18,48,100,50478
P2,div,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,42825.5,66218.18,48,101,50478
P2,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,156163.2,374984.44,2,16,214330
P2,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,156163.2,374984.44,2,17,214330
P2,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,156163.2,374984.44,2,17,214330
P2,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,156163.2,374984.44,2,17,214330
P2,hyp,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,156163.2,374984.44,2,17,214330
P2,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19549.4,6285.76,19,113,31281
P2,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,19528.3,6285.76,17,108,31285
P2,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,19542.2,6285.76,21,104,31278
P2,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,19528.3,6285.76,17,108,31285
P2,log2,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,19528.3,6285.76,17,107,31285
P2,max,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,1893.7,4208.77,66,368,2826
P2,max,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,1893.7,4208.77,66,368,2826
P2,max,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,1893.7,4208.77,66,368,2826
P2,max,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,1893.7,4208.77,66,368,2826
P2,max,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,1893.7,4208.77,66,368,2826
P2,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,19786.5,4009.48,37,126,26870
P2,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,19795.9,4009.48,37,127,26877
P2,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,19683.3,4009.48,45,118,26835
P2,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,19795.9,4009.48,37,126,26877
P2,multiplier,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,19795.1,4009.48,38,127,26874
P2,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,3793.8,2993.21,63,588,5196
P2,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,3782.1,3049.21,49,584,5198
P2,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,3758.6,3016.65,47,588,5177
P2,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,3810.1,2953.07,60,582,5192
P2,sin,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.20,0.60,3782.1,3049.21,49,584,5198
P2,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.50,0.25,0.25,13154.1,90095.32,35,1624,18354
P2,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.33,0.33,0.34,13154.1,90095.32,35,1624,18354
P2,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.60,0.20,0.20,13154.1,90095.32,35,1624,18354
P2,sqrt,0.15,0.95,0.10,0.20,0.40,0.00,0.20,0.60,0.20,13161.8,90055.06,31,1643,18356
