part,pot,criticality,slack_potential,struct_potential,fanout,window_size,prior,model_prob,accepted,goal_hit,area_impr_pct,delay_delta,node
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.351742,0.000000,n4334
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.000000,0.000000,n4493
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,1,1,0.007627,0.000000,n4494
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.054570,0.000000,n4531
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.031686,0.000000,n4812
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.046355,0.000000,n4835
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.031099,0.000000,n4904
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.076280,0.000000,n4910
2,0.681818,0.636364,0.363636,1.000000,1,16,0.500000,0.500000,0,0,-0.022297,0.000000,n4947
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n1878
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n2182
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n2317
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.007628,0.000000,n2523
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.203316,0.000000,n2828
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.038140,0.000000,n2829
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,1,1,0.062198,0.000000,n3205
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.015266,0.000000,n3428
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,1,1,0.092180,0.000000,n4039
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,0.740473,4.579987,n4467
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.031147,0.000000,n4643
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,1,1,0.117242,0.000000,n4703
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n4853
2,0.756660,0.272727,0.727273,0.786047,1,16,0.500000,0.500000,0,0,-0.031478,0.000000,n4960
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n263
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.210341,0.000000,n548
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,1,1,0.008237,0.000000,n612
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.268612,0.000000,n649
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.009709,0.000000,n650
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.015593,0.000000,n1036
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n1037
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,1,1,0.017652,0.000000,n1049
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.107110,2.239990,n1271
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.085924,0.000000,n1551
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.123295,0.000000,n1600
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.397250,0.000000,n1869
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.139773,0.000000,n1870
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n1871
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.023541,0.000000,n1872
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,1,1,0.008239,0.000000,n1879
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.156559,0.000000,n2021
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,1,1,0.030900,0.000000,n2022
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.015896,0.000000,n2030
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.024139,0.000000,n2102
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.180452,0.000000,n2177
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,1.478645,5.570007,n2275
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,1.401518,5.570007,n2276
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.037680,0.000000,n2308
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n2409
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n2410
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.058581,1.820007,n2524
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.015896,0.000000,n2788
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.046511,0.000000,n2831
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.140122,0.000000,n2971
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.039741,0.000000,n3036
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.084191,0.000000,n3037
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.020606,0.000000,n3249
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.283189,1.629974,n3271
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3375
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3505
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.334704,0.000000,n3621
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.046806,0.000000,n3622
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.132763,0.000000,n3736
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,1.517796,5.509979,n3737
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3738
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3739
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.032381,0.000000,n3740
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.008831,0.000000,n3781
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n3804
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.187517,0.000000,n4001
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.462168,0.000000,n4084
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.579624,0.000000,n4459
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.606706,4.579987,n4460
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.015307,0.000000,n4461
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.062407,0.000000,n4497
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.024139,0.000000,n4582
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.117750,0.000000,n4590
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n4724
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.085957,0.000000,n4725
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,1,1,0.015602,0.000000,n4808
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.007066,0.000000,n4857
2,0.711205,0.363636,0.636364,0.786047,1,16,0.500000,0.500000,0,0,-0.062712,0.000000,n4915
2,0.703453,0.363636,0.636364,0.770543,2,16,0.500000,0.500000,1,1,0.015899,0.000000,n2774
2,0.703453,0.363636,0.636364,0.770543,2,16,0.500000,0.500000,0,0,0.000000,0.000000,n3309
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,1,1,0.045642,0.000000,n125
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.189429,0.000000,n137
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.015614,0.000000,n152
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.465177,0.000000,n172
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n222
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.164977,0.000000,n233
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.156434,0.000000,n313
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n344
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.117252,0.000000,n345
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,1,1,0.016203,0.000000,n371
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.465252,0.260010,n545
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.071600,0.000000,n549
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,0.000000,0.000000,n560
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.055394,0.000000,n1074
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.142905,0.000000,n1139
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,0.041546,1.629974,n1140
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,1,1,0.023572,0.000000,n1212
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.047450,0.000000,n1272
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,1,1,0.000295,0.000000,n1276
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.347475,0.260010,n1420
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.384315,0.000000,n1421
2,0.665751,0.454545,0.545455,0.786047,1,16,0.500000,0.500000,0,0,-0.072206,0.000000,n1452
